old_dependents,loan_installments,loan_tenure,home_ownership,young_dependents,monthly_expenses,annual_income,age,house_area,Id,occupants_count,type_of_house_T1,type_of_house_T2,sex_M,sex_TG,loan_amount
0,52,12,1.0,0,2000.0,0.0,45,0.0,9280,0,True,False,False,False,5000.0
1,6,6,1.0,1,5833.0,78000.0,50,500.0,39238,5,False,True,False,False,6000.0
0,50,12,1.0,2,130000.0,24000.0,26,400.0,20382,4,True,False,False,False,12000.0
0,12,12,1.0,1,2500.0,48000.0,28,200.0,39167,2,False,True,False,False,10000.0
1,50,12,1.0,0,3300.0,60000.0,53,750.0,25505,3,True,False,False,False,15000.0
0,12,12,1.0,2,3000.0,48000.0,23,900.0,18505,2,False,True,False,False,5000.0
0,12,12,1.0,3,3000.0,42000.0,33,2000.0,17486,5,False,True,False,False,8000.0
1,12,12,1.0,2,4000.0,65000.0,57,230.0,33783,4,True,False,False,False,8000.0
0,12,12,1.0,2,4000.0,12000.0,40,300.0,18069,4,False,True,False,False,8000.0
0,50,12,1.0,0,4000.0,60000.0,31,700.0,23070,2,True,False,False,False,10000.0
0,12,12,1.0,3,1500.0,36000.0,34,1700.0,30931,5,False,True,False,False,8000.0
0,12,12,1.0,0,4000.0,0.0,22,0.0,10040,0,False,False,False,False,5000.0
0,12,12,1.0,3,3700.0,24000.0,34,600.0,6290,5,False,True,False,False,7500.0
0,12,12,1.0,2,4000.0,36000.0,35,600.0,28460,2,False,True,False,False,15000.0
1,12,12,1.0,1,2000.0,42000.0,56,2900.0,30729,4,False,True,False,False,8000.0
0,12,12,1.0,0,4000.0,54000.0,49,650.0,35754,3,True,False,False,False,5000.0
0,12,12,1.0,0,2500.0,36000.0,49,300.0,28517,2,True,False,False,False,12000.0
0,50,12,1.0,2,3500.0,60000.0,44,600.0,26332,5,False,False,False,False,12000.0
0,12,12,1.0,2,3000.0,60000.0,30,800.0,35227,3,False,True,False,False,12000.0
0,12,12,1.0,2,4500.0,24000.0,30,300.0,7357,4,True,False,False,False,5000.0
0,12,12,1.0,1,5000.0,24000.0,40,800.0,5333,5,False,True,False,False,10000.0
0,12,12,1.0,3,1500.0,48000.0,33,1600.0,39605,5,False,True,False,False,8000.0
0,12,12,1.0,0,3000.0,0.0,40,0.0,11619,0,False,False,False,False,7500.0
0,12,12,1.0,0,3800.0,60000.0,23,500.0,28602,2,False,True,False,False,12000.0
0,12,12,0.0,3,3000.0,22000.0,39,400.0,608,5,False,False,False,False,5000.0
0,12,12,1.0,3,2500.0,30000.0,38,112.0,5421,1,True,False,False,False,5000.0
0,12,12,1.0,2,3000.0,54000.0,35,250.0,32339,4,True,False,False,False,12000.0
0,50,12,1.0,0,3800.0,54000.0,35,2.0,15864,2,True,False,False,False,10000.0
0,12,12,1.0,0,2000.0,0.0,30,0.0,10900,0,False,True,False,False,3000.0
0,12,12,1.0,2,4000.0,48000.0,35,600.0,34631,4,True,False,False,False,10000.0
0,12,12,1.0,2,3000.0,60000.0,30,500.0,32989,3,False,True,False,False,10000.0
0,12,12,1.0,3,3000.0,36000.0,38,600.0,26499,5,True,False,False,False,10000.0
0,50,12,1.0,3,4300.0,12000.0,42,360.0,18133,5,False,True,False,False,10000.0
0,12,12,1.0,0,2500.0,0.0,38,0.0,10991,0,True,False,False,False,3000.0
0,50,12,1.0,2,4100.0,14400.0,30,360.0,19389,4,True,False,False,False,12000.0
0,24,24,1.0,0,1800.0,23000.0,51,600.0,37738,4,True,False,False,False,5000.0
0,50,12,1.0,0,4000.0,52800.0,55,3.0,4196,2,True,False,False,False,7500.0
0,6,6,1.0,0,3333.0,51000.0,54,300.0,39392,2,True,False,False,False,6000.0
0,24,24,1.0,0,150000.0,150000.0,29,700.0,37101,9,False,True,True,False,120000.0
0,50,12,1.0,2,4500.0,12000.0,33,400.0,19752,4,False,False,False,False,8000.0
0,12,12,1.0,0,1200.0,24000.0,46,200.0,29576,7,True,False,False,False,8000.0
0,12,12,1.0,0,4000.0,54000.0,29,600.0,37089,2,True,False,False,False,7000.0
0,12,12,1.0,2,4000.0,66000.0,52,600.0,34739,8,False,True,False,False,8000.0
0,12,12,1.0,0,3000.0,0.0,46,110.0,10983,0,True,False,False,False,3000.0
0,12,12,1.0,0,3000.0,0.0,43,0.0,10811,0,False,False,False,False,7500.0
0,50,12,1.0,2,4200.0,9600.0,40,400.0,13255,4,True,False,False,False,5000.0
0,12,12,1.0,1,4400.0,60000.0,40,800.0,34282,3,True,False,False,False,7000.0
0,50,12,1.0,1,4200.0,12000.0,35,350.0,24741,3,True,False,False,False,10000.0
0,12,12,1.0,0,9000.0,45000.0,41,200.0,7430,2,True,False,False,False,8000.0
0,12,12,1.0,2,2300.0,45000.0,41,300.0,23803,2,False,True,False,False,8000.0
0,12,12,1.0,0,1000.0,45000.0,25,1600.0,38664,2,False,True,False,False,8000.0
0,12,12,1.0,0,3000.0,0.0,27,0.0,12785,0,False,False,False,False,5000.0
0,50,12,1.0,1,2800.0,19200.0,37,750.0,17984,3,True,False,False,False,11000.0
0,12,12,1.0,1,2500.0,48000.0,32,300.0,39823,2,False,True,False,False,10000.0
0,50,12,1.0,2,3500.0,18000.0,40,700.0,21599,4,True,False,False,False,11000.0
0,50,12,1.0,1,3900.0,14400.0,21,350.0,24827,3,True,False,False,False,10000.0
0,6,6,1.0,0,3833.0,60000.0,58,500.0,39984,2,True,False,False,False,6000.0
0,50,12,1.0,3,3600.0,12000.0,24,300.0,13526,5,True,False,False,False,5000.0
0,12,12,1.0,0,3000.0,48000.0,20,1000.0,21710,3,True,False,False,False,5000.0
0,12,12,1.0,2,3000.0,60000.0,26,200.0,34896,4,False,False,False,False,8000.0
0,50,12,1.0,1,4000.0,60000.0,40,600.0,27104,3,True,False,False,False,10000.0
0,12,12,1.0,0,3000.0,36000.0,43,1500.0,14824,4,False,True,False,False,8000.0
0,12,12,1.0,0,2000.0,60000.0,47,400.0,34507,1,False,True,False,False,5000.0
0,12,12,1.0,2,2000.0,30000.0,33,2000.0,25873,4,False,True,False,False,8000.0
1,50,12,1.0,0,3500.0,12000.0,51,320.0,23613,3,True,False,False,False,12000.0
0,12,12,1.0,0,2800.0,0.0,40,0.0,10728,0,False,True,False,False,7500.0
0,12,12,1.0,1,3500.0,96000.0,46,400.0,37171,4,False,True,False,False,8000.0
0,12,12,1.0,0,2500.0,8000.0,61,1500.0,24146,2,False,True,False,False,8000.0
0,12,12,1.0,0,2500.0,0.0,25,0.0,10729,0,False,True,False,False,5000.0
0,50,12,1.0,0,3500.0,16800.0,44,450.0,26518,2,True,False,False,False,12000.0
0,50,12,0.0,0,3400.0,0.0,27,0.0,7701,0,True,False,False,False,5000.0
0,12,12,1.0,0,3500.0,100000.0,26,360.0,28392,4,False,True,False,False,7000.0
0,12,12,1.0,2,3500.0,54000.0,26,750.0,32326,2,False,False,False,False,8000.0
0,12,12,1.0,0,2500.0,48000.0,31,400.0,23760,2,False,True,False,False,8000.0
0,12,12,1.0,1,2000.0,48000.0,28,400.0,19734,3,False,False,False,False,5000.0
0,50,12,1.0,1,4000.0,12000.0,37,500.0,19446,3,True,False,False,False,12000.0
0,12,12,1.0,0,2750.0,0.0,43,0.0,7913,0,False,False,False,False,5000.0
0,12,12,1.0,1,1500.0,30000.0,30,900.0,30634,3,True,False,False,False,9000.0
1,12,12,1.0,0,4400.0,60000.0,41,650.0,25586,3,True,False,True,False,7000.0
0,50,12,1.0,4,5000.0,78000.0,36,4.0,3051,2,True,False,False,False,7500.0
0,50,12,1.0,1,5500.0,81000.0,49,3.0,6751,3,True,False,False,False,7500.0
0,50,12,1.0,0,1800.0,24000.0,54,300.0,14046,1,True,False,False,False,5000.0
0,12,12,1.0,0,1800.0,0.0,30,0.0,8716,0,False,False,False,False,5000.0
0,12,12,1.0,3,2500.0,30000.0,37,114.0,5391,1,True,False,False,False,5000.0
0,12,12,1.0,0,4000.0,60000.0,25,900.0,27070,2,False,False,True,False,7000.0
0,12,12,1.0,1,8000.0,60000.0,27,200.0,507,3,False,True,False,False,5000.0
0,12,12,1.0,0,3500.0,72000.0,45,1000.0,34185,2,False,True,False,False,12000.0
0,12,12,1.0,0,2500.0,0.0,36,0.0,10790,0,False,True,False,False,5000.0
0,12,12,1.0,2,4000.0,12000.0,33,325.0,2137,4,False,True,False,False,5000.0
0,50,12,1.0,2,5000.0,60000.0,25,100.0,19140,3,False,False,False,False,8000.0
0,12,12,1.0,1,4000.0,54000.0,26,620.0,32457,3,True,False,False,False,8000.0
0,12,12,1.0,2,2000.0,18000.0,40,300.0,24704,2,False,True,False,False,8000.0
0,12,12,1.0,0,1800.0,0.0,31,0.0,9099,0,False,True,True,False,5000.0
0,12,12,1.0,1,2500.0,60000.0,48,150.0,26193,3,False,False,False,False,5000.0
0,50,12,1.0,0,3500.0,0.0,30,0.0,8277,0,False,True,False,False,6000.0
0,12,12,1.0,2,3000.0,12000.0,30,500.0,14736,2,False,True,False,False,7500.0
0,12,12,1.0,0,8000.0,120000.0,50,500.0,34795,2,True,False,False,False,8000.0
0,12,12,1.0,0,3000.0,0.0,41,0.0,11381,0,True,False,False,False,5000.0
0,12,12,1.0,0,3000.0,1800.0,35,540.0,4366,3,False,True,False,False,5000.0
0,50,12,1.0,0,5700.0,0.0,38,0.0,8853,0,True,False,False,False,5000.0
0,50,12,1.0,2,7000.0,84000.0,35,130.0,3753,5,False,True,False,False,5000.0
0,12,12,1.0,1,3800.0,9600.0,48,300.0,21360,4,False,False,False,False,7000.0
0,12,12,1.0,2,2000.0,30000.0,30,600.0,28565,4,True,False,False,False,10000.0
0,50,12,1.0,1,3800.0,19200.0,42,400.0,20070,4,True,False,False,False,13000.0
0,50,12,1.0,1,3500.0,60000.0,45,900.0,27540,4,True,False,False,False,13000.0
0,12,12,1.0,1,4000.0,84000.0,42,1000.0,31437,2,False,True,False,False,8000.0
0,12,12,1.0,0,700.0,0.0,22,0.0,10515,0,False,True,False,False,5000.0
0,12,12,1.0,1,2700.0,0.0,40,600.0,177,4,False,True,False,False,5000.0
0,50,12,0.0,0,1500.0,36000.0,40,300.0,14916,1,False,False,False,False,12000.0
0,12,12,1.0,0,2500.0,0.0,32,0.0,10511,0,False,True,False,False,5000.0
0,12,12,1.0,0,3000.0,0.0,47,0.0,9200,0,True,False,False,False,3000.0
1,50,12,1.0,0,3800.0,57000.0,57,3.0,14877,2,True,False,True,False,10000.0
0,50,12,1.0,3,4800.0,68400.0,34,5.0,6691,2,False,True,False,False,7500.0
0,12,12,1.0,0,3500.0,0.0,39,0.0,12784,0,False,False,False,False,5000.0
0,12,12,1.0,0,2500.0,48000.0,46,900.0,28621,2,False,True,False,False,12000.0
0,12,12,1.0,0,2000.0,48000.0,45,400.0,18465,1,False,True,False,False,10000.0
0,12,12,1.0,2,2000.0,36000.0,37,1800.0,27206,4,False,True,False,False,8000.0
0,12,12,1.0,3,6000.0,108000.0,36,120.0,30751,5,False,False,False,False,9000.0
0,50,12,1.0,2,5000.0,12000.0,34,400.0,6628,4,True,False,False,False,5000.0
1,12,12,1.0,2,7000.0,110000.0,26,150.0,30864,6,False,False,False,False,7000.0
0,12,12,1.0,1,3000.0,24000.0,35,600.0,19851,2,False,True,False,False,12000.0
0,12,12,1.0,3,3000.0,2300.0,35,580.0,3711,4,False,False,False,False,5000.0
0,12,12,1.0,2,3000.0,12000.0,36,200.0,23427,2,False,True,False,False,5000.0
0,12,12,1.0,2,2000.0,30000.0,48,1850.0,30006,4,False,True,False,False,8000.0
0,12,12,1.0,2,2200.0,48000.0,22,900.0,29024,2,False,True,False,False,8000.0
0,12,12,1.0,0,3700.0,0.0,39,0.0,12529,0,False,True,False,False,5000.0
0,12,12,1.0,3,4500.0,72000.0,23,250.0,35457,3,False,False,False,False,8000.0
0,50,12,1.0,0,3700.0,19200.0,53,450.0,28016,2,True,False,False,False,12000.0
0,50,12,1.0,2,4000.0,9600.0,31,450.0,14837,4,False,False,False,False,5000.0
0,12,12,1.0,0,2000.0,60000.0,42,280.0,38189,2,False,True,False,False,8000.0
0,12,12,1.0,0,3000.0,18000.0,40,600.0,7554,2,False,True,False,False,7500.0
0,12,12,1.0,1,4000.0,54000.0,24,600.0,32597,3,True,False,False,False,5000.0
0,12,12,1.0,1,3000.0,36000.0,40,500.0,35860,2,False,True,False,False,8000.0
0,12,12,1.0,1,2500.0,48000.0,21,500.0,29653,1,False,True,False,False,8000.0
0,12,12,1.0,1,3000.0,84000.0,27,500.0,31914,2,False,True,False,False,12000.0
0,12,12,1.0,3,3000.0,48000.0,34,1361.0,18151,5,False,False,False,False,8000.0
0,50,12,1.0,0,4400.0,0.0,38,0.0,8282,0,False,True,False,False,6000.0
0,50,12,1.0,2,3000.0,24000.0,22,400.0,18722,4,True,False,False,False,8000.0
0,12,12,1.0,3,3000.0,60000.0,28,500.0,38480,4,False,True,False,False,8000.0
0,12,12,1.0,0,4200.0,60000.0,42,900.0,25552,2,False,False,False,False,5000.0
0,12,12,0.0,0,6000.0,0.0,40,0.0,12790,0,False,True,False,False,5000.0
0,12,12,1.0,2,3700.0,8400.0,24,310.0,6988,4,False,True,False,False,5000.0
1,12,12,1.0,0,1000.0,42000.0,24,1500.0,39667,3,False,True,False,False,8000.0
0,12,12,1.0,0,3000.0,18000.0,45,800.0,2085,3,False,True,False,False,5000.0
0,12,12,1.0,2,3000.0,36000.0,25,650.0,20994,6,False,False,False,False,9000.0
0,12,12,1.0,0,3000.0,12000.0,45,300.0,1400,3,True,False,False,False,5000.0
0,12,12,1.0,0,3500.0,46400.0,43,200.0,39571,2,True,False,False,False,18000.0
0,12,12,1.0,1,4000.0,54000.0,41,650.0,30648,3,False,False,False,False,8000.0
0,12,12,1.0,0,4000.0,84000.0,44,1000.0,31686,4,False,True,False,False,15000.0
0,50,12,1.0,0,1900.0,0.0,27,0.0,9076,0,False,True,False,False,5000.0
0,12,12,1.0,0,2500.0,48000.0,25,600.0,30952,2,True,False,True,False,10000.0
0,52,12,1.0,0,4000.0,0.0,40,0.0,9308,0,False,False,False,False,5000.0
0,12,12,1.0,0,4000.0,0.0,41,0.0,8732,0,False,True,False,False,2000.0
0,50,12,1.0,2,4000.0,24000.0,26,600.0,21352,4,True,False,False,False,10000.0
0,12,12,1.0,1,3000.0,50000.0,48,600.0,15678,1,False,True,True,False,13000.0
0,12,12,1.0,2,8000.0,120000.0,24,450.0,35230,3,True,False,False,False,8000.0
0,12,12,1.0,0,100000.0,48000.0,42,400.0,31853,1,False,True,False,False,12000.0
0,12,12,1.0,1,3000.0,48000.0,40,900.0,5670,3,True,False,False,False,5000.0
0,12,12,1.0,0,2500.0,45000.0,46,900.0,32118,4,True,False,False,False,12000.0
0,12,12,1.0,1,4000.0,48000.0,50,600.0,33301,2,True,False,False,False,10000.0
0,12,12,1.0,0,3000.0,0.0,51,0.0,10825,0,False,True,False,False,5000.0
0,12,12,1.0,0,3500.0,0.0,40,0.0,8455,0,False,True,False,False,5000.0
0,12,12,1.0,2,2200.0,48000.0,30,200.0,21038,1,False,True,False,False,15000.0
0,12,12,1.0,2,2800.0,36000.0,39,300.0,36096,4,False,True,False,False,15000.0
0,12,12,1.0,1,5000.0,60000.0,37,550.0,35937,3,True,False,True,False,10000.0
0,12,12,1.0,2,2500.0,36000.0,38,500.0,36400,2,False,True,False,False,8000.0
0,12,12,1.0,1,3000.0,54000.0,46,300.0,32659,4,True,False,False,False,12000.0
0,12,12,1.0,0,1800.0,24000.0,56,200.0,19014,3,True,False,False,False,8000.0
0,12,12,1.0,0,2000.0,30000.0,35,200.0,4441,2,True,False,True,False,5000.0
0,50,12,1.0,0,2300.0,36000.0,49,4.0,13061,1,True,False,False,False,7500.0
0,12,12,1.0,0,3500.0,42000.0,53,110.0,4399,1,True,False,False,False,5000.0
0,12,12,1.0,2,1000.0,24000.0,31,200.0,29582,3,False,True,False,False,8000.0
0,12,12,1.0,3,3000.0,60000.0,35,400.0,26076,2,False,True,False,False,15000.0
0,50,12,1.0,1,3900.0,12000.0,35,500.0,18988,3,True,False,False,False,8000.0
0,12,12,1.0,1,5000.0,60000.0,39,1000.0,23499,2,False,True,False,False,10000.0
0,12,12,1.0,0,2400.0,0.0,30,0.0,10252,0,False,True,False,False,5000.0
0,50,12,1.0,0,4000.0,0.0,35,0.0,8576,0,True,False,False,False,5000.0
0,12,12,1.0,0,3000.0,0.0,23,0.0,10202,0,True,False,False,False,3000.0
0,12,12,1.0,3,1200.0,24000.0,32,200.0,16361,5,True,False,False,False,8000.0
0,50,12,1.0,1,3500.0,48000.0,25,150.0,2195,3,False,True,False,False,5000.0
0,12,12,1.0,0,5000.0,24000.0,45,1000.0,14809,2,False,True,False,False,10000.0
0,2,12,1.0,3,3000.0,36000.0,18,800.0,39947,5,False,False,False,False,10000.0
0,50,12,1.0,0,4100.0,0.0,49,0.0,9546,0,True,False,False,False,5000.0
0,12,12,1.0,1,1000.0,42000.0,37,200.0,21569,2,False,True,False,False,5000.0
0,12,12,1.0,0,4500.0,0.0,45,0.0,12711,0,True,False,False,False,5000.0
0,6,6,1.0,2,6250.0,77000.0,47,400.0,39466,6,True,False,False,False,6000.0
0,50,12,1.0,2,4000.0,60000.0,43,700.0,22906,4,True,False,False,False,15000.0
0,12,12,1.0,2,4000.0,72000.0,30,500.0,32224,3,False,True,False,False,15000.0
0,12,12,1.0,1,3000.0,48000.0,42,300.0,39934,2,False,True,False,False,8000.0
0,50,12,1.0,2,2700.0,19200.0,26,600.0,16698,4,True,False,False,False,9000.0
0,12,12,1.0,1,1400.0,18000.0,29,1500.0,39845,3,True,False,False,False,8000.0
0,12,12,1.0,0,2900.0,0.0,33,0.0,7820,0,False,False,False,False,5000.0
0,12,12,1.0,2,4000.0,65000.0,33,150.0,20548,4,False,True,False,False,5000.0
0,12,12,1.0,3,4000.0,18000.0,40,100.0,25976,5,False,True,False,False,8000.0
